stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\CVUT\PIA\bouncingLogoSeminarWork\PIA_seminarWork_bouncingLogo\x64\Debug\allegro5.cfg r
display  D   display_settings.c:527  _al_score_display_settings       [   5.78519] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   5.78523] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78528] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   5.78532] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78537] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   5.78541] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78545] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   5.78551] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78556] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   5.78561] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78566] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   5.78572] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   5.78577] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   5.78581] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   5.78586] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   5.78590] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78595] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   5.78600] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78604] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   5.78609] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78613] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   5.78617] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78622] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   5.78626] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78630] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   5.78634] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78639] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   5.78643] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78648] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   5.78654] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   5.78659] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   5.78664] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   5.78669] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   5.78674] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78680] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   5.78685] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78690] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   5.78696] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78701] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   5.78706] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78712] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   5.78716] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78721] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   5.78725] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78729] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   5.78733] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78737] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   5.78741] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   5.78746] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   5.78750] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   5.78755] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   5.78759] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78763] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   5.78767] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78772] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   5.78776] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78782] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   5.78787] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78794] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   5.78799] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78803] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   5.78808] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   5.78812] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   5.78817] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
